province,muslim,protestant,catholic,christian,hindui,buddhist,confucianist,indegenous_religion,total
Aceh,5176308,64300,5101,69401,98,7444,0,261,5322913
Bali,425981,65962,33352,99314,3682484,28635,470,99,4336297
Bangka Belitung Islands,1248691,29114,18782,47896,1193,66705,28348,1650,1442379
Banten,10296096,286723,134829,421552,8292,136183,1994,4693,11290362
Bengkulu,1953891,33087,8092,41179,4184,2180,11,133,2042757
Central Java,35577909,601959,357113,959072,15648,53578,1540,6856,37573675
Central Kalimantan,1907034,429481,81420,510901,155345,2763,194,978,3088116
Central Sulawesi,2333910,491915,26437,518352,109308,4339,52,3514,3487827
East Java,39554069,686516,278384,964900,107971,74186,2302,2647,41670975
East Kalimantan,3155252,275706,156595,432301,8311,15535,329,378,4044407
East Nusa Tenggara,511281,1962768,2906404,4869172,6030,448,82,39405,10295590
Gorontalo,1157969,17489,1049,18538,4018,977,9,20,1200069
Jambi,3321255,113544,19855,133399,510,34736,676,1188,3625163
Lampung,8675884,129162,82941,212103,127903,27397,54,1621,9257065
Maluku,982019,729181,126638,855819,5765,395,75,10156,2710048
North Kalimantan,477919,133424,38957,172381,338,4216,137,3,827375
North Maluku,985460,322498,6470,328968,121,150,138,12,1643817
North Sulawesi,832936,1673635,116895,1790530,15525,3957,464,1706,4435648
North Sumatra,9810473,4066305,647325,4713630,16346,361402,559,5626,19621666
Papua,664575,3000104,669185,3669289,3341,2355,2220,4813,8015882
Riau,5366531,581673,6343,588016,739,133744,2175,1400,6680621
Riau Islands,1530708,234745,47678,282423,932,143755,3266,304,2243811
South East Sulawesi,2519582,44900,16070,60970,50065,2188,22,112,2693909
South Kalimantan,3922388,53689,21421,75110,23252,12412,258,9145,4117675
South Sulawesi,8175141,700287,154199,854486,63652,21661,91,2349,9971866
South Sumatra,8030200,79965,49643,129608,40319,67504,67,81,8397387
Special Capital Region of Jakarta,9213730,945089,432086,1377175,20216,399005,1483,253,12389037
Special Region of Yogyakarta,3382421,89020,166964,255984,3419,3155,95,413,3901471
West Java,44374684,833418,293613,1127031,17017,98780,11688,3514,46759745
West Kalimantan,3251481,623839,1203137,1826976,2998,330638,13093,1889,7254051
West Nusa Tenggara,5118846,13534,9819,23353,128600,16654,38,86,5310930
West Papua,436971,621351,87607,708958,1164,957,29,75,1857112
West Sulawesi,1286405,231072,17602,248674,2116,478,32,7147,1793526
West Sumatra,5411932,80812,46246,127058,93,3638,8,265,5670052
